GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;218;Ellikon an der Thur;;https://oerebdocs.zh.ch/getDoc?docid=12445;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12445;True;;;
ZH;219;Elsau;;https://oerebdocs.zh.ch/getDoc?docid=5989;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5989;True;;;
ZH;220;Hagenbuch;;https://oerebdocs.zh.ch/getDoc?docid=12840;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12840;True;;;
ZH;221;Hettlingen;;https://oerebdocs.zh.ch/getDoc?docid=8232;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8232;True;;;
ZH;223;Neftenbach;;https://oerebdocs.zh.ch/getDoc?docid=8249;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8249;True;;;
ZH;224;Pfungen;;https://oerebdocs.zh.ch/getDoc?docid=8242;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8242;True;;;
ZH;225;Rickenbach (ZH);;https://oerebdocs.zh.ch/getDoc?docid=12266;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12266;True;;;
ZH;226;Schlatt (ZH);;https://oerebdocs.zh.ch/getDoc?docid=12393;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12393;True;;;
ZH;227;Seuzach;;https://oerebdocs.zh.ch/getDoc?docid=6108;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6108;True;;;
ZH;228;Turbenthal;;https://oerebdocs.zh.ch/getDoc?docid=12822;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12822;True;;;
ZH;230;Winterthur;;https://oerebdocs.zh.ch/getDoc?docid=8208;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8208;True;;;
ZH;231;Zell (ZH);;https://oerebdocs.zh.ch/getDoc?docid=12823;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12823;True;;;
ZH;241;Aesch (ZH);;https://oerebdocs.zh.ch/getDoc?docid=11612;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11612;True;;;
